id	title	channel_id	tags
139	大学生 心理素质 发展 讲座 举办 华南理工大学 黄 建 榕 教授 作 报告 	4	综合新闻
140	我校 在 陕西省 高校 图书馆 乒乓球 比赛 中 荣获冠军 	4	综合新闻
141	我校 举行 纪念 马克思 诞辰 200周年 暨 诵读 共产党宣言 专题学习 会议 	4	综合新闻
142	西安 工程 大学 工 会来 我校 调研 交流 工会工作 	4	综合新闻
143	机关 青年 赴 富平 爱国主义教育 基地 参观 学习 	4	综合新闻
144	不忘 初心 牢记 使命 五四 主题 团日 活动 举行 	4	综合新闻
145	附属小学 举行 2018年 春季 田径 运动会 	4	综合新闻
146	西安 工商局 未央 分局 助力 双 创 校园行 主题 宣讲会 举办 	4	综合新闻
147	离退休 处 举办 第十四 届 离退休 职工 趣味 运动会 	4	综合新闻
148	新 长城 孟 丽 红 助学 基金 捐赠 仪式 暨 爱心 见面会 举行 	4	综合新闻
149	我校 在 陕西省 第六届 高校 辅导员 素质 能力 大赛 中 取得 佳绩 	4	综合新闻
150	附属 学校 全体 党员 赴 延安 接受 红色 教育 	4	综合新闻
151	我校 渭水 七点 半 学院 体育 日 活动 启动 	4	综合新闻
152	我校 入选 校园 节水 安全 供水 智慧 管理 样板 示范校 	4	综合新闻
153	本学期 第二次 教学工作 例会 召开 安排 部署 近期 工作 	4	学校要闻
154	我校 王 文科 教授 受邀 出任 国际 sci 期刊 副主编 	4	学校要闻
155	让 长 江上 腾起 蓝色 的 巨龙 沪 通 长江大桥 上 的 长安 大 学人 	4	学校要闻
156	我校 第四届 互联网 大赛 第 十一届 挑战杯 竞赛 启动 仪式 暨 第 十 七届 科技节 创新 创业 教育 成果 展 举行 	4	学校要闻
157	我校 李 培 月 教授 荣获 第 17届 陕西 青年 五四 奖章 	4	学校要闻
158	土木工程 学科 周 绪 红 院士 工作站 揭牌 仪式 暨 学术 报告会 举行 	4	学校要闻
159	长安 大学 师 生热 议 习近平 总书记 在 纪念 马克思 诞辰 200周年 大会上 的 讲话 	4	学校要闻
160	学校 举办 2018年 研究生 表彰大会 暨 诗歌朗诵 大会 	4	学校要闻
161	我校 举办 纪念 中国 共青团 成立 96周年 暨 五四 戏剧 专场 晚会 	4	学校要闻
162	校领导 带队 赴 佳县 开展 扶贫 帮扶 工作 	4	学校要闻
163	长安 大学 团委 荣获 全国 五四 红旗 团委 称号 	4	学校要闻
164	校领导 一行 赴 留坝县 看望 慰问 研究生 支教团 志愿者 	4	学校要闻
165	陈 峰 校长 一行 参加 中美 交通 论坛 第九次 会议 	4	学校要闻
166	民盟 长安 大学 委员会 圆满完成 换届 工作 	4	学校要闻
167	中国 公路 学报 被评为 第三届 全国 百强 报刊 	4	学校要闻
168	学校 举办 2018届 毕业生 春季 研究生 本科生 双选会 	4	学校要闻
169	学校 与 马来西亚 理科大学 签署 合作 协议 	4	学校要闻
170	陈 峰 校长 一行 在京 赴 校友 企业 走访 调研 	4	学校要闻
171	校领导 赴 河北 开展 校 地 校 企 合作 考察 调研 	4	学校要闻
172	校领导 五一 前夕 带队 慰问 学校 各级 劳模 	4	学校要闻
173	我校 来华 留学生 工作会议 召开 	4	学校要闻
